"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"8144881","","February 21, 2026 at 8:01 PM","Burlington","Shelburne St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003470","Burlington PD","11","0.349","None/Other","Night","Locust St","None","None","","VT0040100","Traffic circle / roundabout","","Shelburne St","","0070","44.46335590044758,-73.20789824546486"
"8040492","","February 21, 2026 at 8:56 PM","Burlington","Rt 127","MANHATTAN DR","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003473","Burlington PD","2","0.008","None/Other","Night","Manhattan Dr","None","None","","VT0040100","On Ramp","","Rt 127","","0000","44.48749907475275,-73.21926861041945"
"8041602","","February 21, 2026 at 9:44 PM","Burlington","Rt 127","VT ROUTE 127","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003476","Burlington PD","2","0.009","None/Other","Night","Rt 127","None","None","","VT0040100","Four-way Intersection","","Rt 127","","0000","44.48762597536894,-73.21944520752206"
"8043301","","February 22, 2026 at 9:04 AM","Burlington","377 Pine St","PINE ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003492","Burlington PD","2","0.929","None/Other","Day","","None","None","","VT0040100","Not at a Junction","","377 Pine St","","0000","44.468949905033185,-73.21510701910121"
"8145810","","February 22, 2026 at 10:38 AM","Burlington","266 Queen City Park Rd","QUEEN CITY PARK RD","Property Damage Only","Same Direction Sideswipe","Clear","Street or Town Highways in FA Urban Area","26BU003495","Burlington PD","5","999.99","None/Other","Day","266 Queen City Park Rd","None","None","","VT0040100","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","266 Queen City Park Rd","Snow","0000","44.44648540944085,-73.22028246605802"
"8040728","","February 22, 2026 at 9:31 PM","Burlington","S Prospect St","S PROSPECT ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003517","Burlington PD","2","0.276","None/Other","Night","Pearl St","None","None","","VT0040100","Four-way Intersection","","S Prospect St","","0000","44.48040144288429,-73.20054324824598"
"8048126","","February 23, 2026 at 10:03 AM","Burlington","1127 North Ave","NORTH AVE","Injury","Left Turn and Thru, Angle Broadside -->v--","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003540","Burlington PD","2","2.198","None/Other","Day","Cooperative Way","None","None","","VT0040100","Four-way Intersection","None","1127 North Ave","Dry","0000","44.50676598237107,-73.24462522668588"
"8048805","","February 23, 2026 at 12:57 PM","Burlington","616 S Willard St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003555","Burlington PD","11","1.238","None/Other","Day","616 S Willard St","None","None","","VT0040100","Traffic circle / roundabout","","616 S Willard St","","0070","44.46369475317699,-73.20738515522535"
"8068365","","February 24, 2026 at 4:54 PM","Burlington","195 N Prospect St","N PROSPECT ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003643","Burlington PD","2","0.396","None/Other","Day","Ohavi Zedek Synagogue","None","None","","VT0040100","Not at a Junction","","195 N Prospect St","","0000","44.486384117732214,-73.20178997764113"
"8147052","","February 24, 2026 at 6:23 PM","Burlington","230 Colchester Ave","Unknown","Property Damage Only","Same Direction Sideswipe","Clear","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","26UV001438","UVM Police","9","999.99","None/Other","Night","Mercy Hall Parking Lot","None","None","","VT0041100","Parking Lot","None","230 Colchester Ave","Dry","0000","44.484070611687486,-73.19208304283528"
